,,,,,,,
56.38867,51.2734,52.26172,51.8965,54.45703,50.1348,56.12891,50.9434
56.38672,51.291,52.39844,51.8965,54.5293,50.3398,56.38867,51.2734
56.34375,51.5137,52.75977,52.2969,54.26953,50.1621,56.38672,51.291
56.18555,51.7617,52.98633,52.9102,54.00586,50.0879,56.34375,51.5137
55.75,51.9395,52.95508,53.541,53.76172,50.1523,56.18555,51.7617
55.25195,52.1035,53.01953,53.8398,53.67383,50.3828,55.75,51.9395
55.0293,52.334,52.92578,54.0488,53.67578,50.8008,55.25195,52.1035
54.75,52.5801,52.54688,53.6719,53.56055,51.0781,55.0293,52.334
54.6582,52.8477,52.34766,53.2266,53.38477,51.1406,54.75,52.5801
54.92383,52.9824,52.00195,52.5273,53.35938,51.1113,54.6582,52.8477
55.33203,53.041,51.60938,52.2031,53.80078,51.0156,54.92383,52.9824
55.85547,53.0215,51.34766,51.8262,53.94727,50.9492,55.33203,53.041
56.18555,52.8984,51.27539,51.7598,54.2207,50.8301,55.85547,53.0215
56.30078,52.7832,51.48242,51.8535,53.9707,50.9023,56.18555,52.8984
56.25977,52.4531,51.36328,51.8379,53.72461,51.0039,56.30078,52.7832
55.78711,52.4258,51.50391,51.7188,53.25,50.9629,56.25977,52.4531
55.48438,52.1758,51.73828,51.6191,52.88086,51.2949,55.78711,52.4258
55.18164,51.7793,51.87109,51.8691,52.92188,51.2969,55.48438,52.1758
54.80664,51.3516,52.12891,52.1641,52.89062,51.1562,55.18164,51.7793
54.74219,51.2969,52.12305,52.1719,53.42383,50.9414,54.80664,51.3516
54.69727,51.0039,52.09766,52.1465,53.82812,50.6484,54.74219,51.2969
54.73438,51.127,51.97852,52.209,54.61133,50.6074,54.69727,51.0039
54.99414,50.8301,51.98633,52.3086,54.30273,50.6523,54.73438,51.127
54.74219,50.8574,52.14258,52.4648,54.34961,50.3867,54.99414,50.8301
54.67383,50.6602,52.37305,53.0488,53.91602,50.3223,54.74219,50.8574
54.13867,50.6211,52.19727,53.1133,53.73633,50.5391,54.67383,50.6602
53.70117,50.6641,52.48242,53.1738,53.48633,50.2227,54.13867,50.6211
